School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
00001,Alabama,Fort Rucker School District,985,12%,5%,0%-10%,33%,20%-46%,3%,0%-8%,2%,0%-5%,3%,0%-6%,0%,0%-3%
00003,Alabama,Maxwell AFB School District,292,15%,10%,3%-17%,31%,4%-57%,1%,0%-10%,1%,0%-6%,5%,2%-9%,0%,0%-8%
00005,Alabama,Albertville City School District,4591,30%,35%,26%-44%,33%,28%-37%,5%,3%-7%,22%,13%-32%,2%,0%-3%,17%,10%-24%
00006,Alabama,Marshall County School District,8299,27%,30%,24%-35%,23%,21%-26%,3%,2%-3%,14%,11%-18%,4%,3%-6%,4%,1%-7%
00007,Alabama,Hoover City School District,"15,397",7%,21%,17%-25%,29%,27%-31%,2%,1%-2%,3%,1%-5%,4%,2%-5%,4%,1%-8%
00008,Alabama,Madison City School District,9416,8%,18%,12%-23%,21%,19%-23%,2%,1%-3%,10%,6%-15%,6%,4%-8%,0%,0%-1%
00011,Alabama,Leeds City School District,2324,17%,27%,14%-41%,30%,25%-36%,3%,1%-5%,24%,13%-35%,8%,3%-13%,0%,0%-2%
00012,Alabama,Boaz City School District,1644,25%,40%,20%-60%,30%,25%-36%,1%,0%-3%,11%,3%-20%,6%,2%-11%,7%,1%-12%
00013,Alabama,Trussville City School District,4476,7%,23%,15%-31%,26%,22%-29%,1%,0%-2%,4%,1%-7%,3%,1%-4%,0%,0%-1%
00030,Alabama,Alexander City City School District,3064,37%,50%,39%-62%,23%,19%-28%,4%,2%-6%,18%,10%-26%,5%,3%-8%,3%,0%-6%
00060,Alabama,Andalusia City School District,1425,31%,58%,50%-66%,27%,21%-33%,2%,0%-4%,9%,4%-15%,15%,8%-23%,0%,0%-2%
00090,Alabama,Anniston City School District,3008,38%,54%,46%-61%,26%,22%-30%,1%,0%-2%,27%,20%-34%,9%,6%-13%,0%,0%-1%
00100,Alabama,Arab City School District,1454,18%,33%,29%-37%,28%,26%-31%,1%,0%-1%,9%,6%-12%,6%,4%-7%,1%,0%-3%
00120,Alabama,Athens City School District,3824,18%,34%,25%-42%,33%,29%-37%,2%,1%-2%,15%,9%-21%,9%,4%-15%,5%,1%-8%
00180,Alabama,Attalla City School District,1144,26%,46%,22%-70%,31%,21%-41%,4%,0%-8%,12%,2%-22%,17%,6%-27%,0%,0%-3%
00185,Alabama,Saraland City School District,2728,20%,33%,23%-43%,26%,21%-30%,2%,1%-4%,8%,3%-12%,4%,1%-7%,0%,0%-1%
00188,Alabama,Chickasaw City School District,1350,41%,64%,53%-74%,34%,28%-39%,4%,2%-6%,30%,19%-41%,4%,1%-6%,0%,0%-3%
00189,Alabama,Satsuma City School District,922,22%,22%,9%-35%,19%,13%-26%,0%,0%-2%,13%,2%-24%,5%,0%-9%,0%,0%-4%
00190,Alabama,Alabaster City School District,6469,12%,22%,16%-28%,31%,28%-34%,2%,1%-3%,5%,2%-9%,6%,3%-9%,3%,1%-6%
00194,Alabama,Pelham City School District,4044,8%,27%,19%-35%,30%,27%-34%,1%,0%-2%,11%,5%-16%,4%,2%-6%,5%,0%-10%
00195,Alabama,Pike Road City School District,1813,7%,18%,8%-29%,20%,16%-24%,0%,0%-1%,4%,0%-7%,4%,1%-8%,2%,0%-4%
00210,Alabama,Auburn City School District,8277,12%,28%,22%-35%,29%,26%-31%,3%,2%-4%,7%,4%-10%,5%,3%-7%,4%,2%-7%
00240,Alabama,Autauga County School District,"10,106",19%,26%,21%-31%,26%,24%-28%,1%,1%-2%,9%,6%-11%,12%,9%-15%,0%,0%-1%
00270,Alabama,Baldwin County School District,"33,982",13%,27%,24%-30%,32%,30%-33%,1%,1%-2%,10%,8%-12%,5%,3%-6%,1%,0%-2%
00300,Alabama,Barbour County School District,1698,38%,46%,36%-55%,21%,17%-25%,6%,3%-10%,52%,37%-67%,15%,8%-21%,5%,0%-10%
00330,Alabama,Bessemer City School District,4276,31%,70%,62%-77%,35%,31%-39%,2%,1%-3%,20%,13%-26%,13%,8%-17%,1%,0%-3%
00360,Alabama,Bibb County School District,3346,25%,33%,23%-43%,23%,18%-27%,1%,0%-2%,17%,9%-26%,5%,2%-9%,0%,0%-1%
00390,Alabama,Birmingham City School District,"29,129",35%,68%,65%-71%,31%,29%-32%,1%,1%-2%,22%,20%-25%,8%,7%-10%,2%,1%-3%
00420,Alabama,Blount County School District,8897,15%,30%,24%-36%,26%,24%-29%,2%,1%-2%,18%,13%-23%,3%,2%-4%,3%,1%-4%
00450,Alabama,Brewton City School District,806,35%,48%,33%-63%,27%,19%-34%,1%,0%-2%,29%,15%-44%,6%,2%-11%,0%,0%-4%
00480,Alabama,Bullock County School District,1554,65%,70%,63%-77%,20%,15%-25%,0%,0%-1%,40%,25%-55%,8%,3%-13%,0%,0%-2%
00510,Alabama,Butler County School District,3361,35%,47%,40%-55%,28%,24%-32%,2%,1%-3%,33%,27%-40%,5%,3%-7%,0%,0%-1%
00540,Alabama,Calhoun County School District,9446,19%,31%,26%-36%,26%,24%-29%,2%,1%-3%,14%,10%-18%,10%,7%-13%,0%,0%-1%
00600,Alabama,Chambers County School District,4227,27%,49%,42%-57%,23%,20%-26%,2%,1%-3%,21%,16%-27%,3%,1%-5%,0%,0%-1%
00630,Alabama,Cherokee County School District,4082,22%,26%,19%-33%,19%,16%-21%,1%,1%-2%,15%,10%-19%,8%,4%-12%,0%,0%-1%
00660,Alabama,Chilton County School District,7880,22%,37%,30%-44%,27%,25%-30%,3%,2%-4%,26%,20%-32%,7%,3%-10%,1%,0%-2%
00690,Alabama,Choctaw County School District,1979,29%,50%,42%-58%,23%,19%-27%,1%,0%-2%,27%,18%-35%,10%,5%-15%,0%,0%-2%
00720,Alabama,Clarke County School District,3174,33%,38%,30%-46%,22%,19%-25%,2%,1%-3%,39%,29%-48%,5%,3%-8%,0%,0%-1%
00750,Alabama,Clay County School District,2149,25%,23%,16%-30%,21%,17%-24%,1%,0%-2%,20%,12%-28%,7%,1%-12%,0%,0%-2%
00780,Alabama,Cleburne County School District,2593,22%,27%,19%-35%,25%,21%-29%,1%,0%-2%,29%,21%-37%,6%,4%-9%,2%,0%-4%
00810,Alabama,Coffee County School District,3280,20%,26%,21%-31%,23%,21%-25%,2%,1%-2%,14%,10%-17%,8%,6%-10%,1%,0%-3%
00840,Alabama,Colbert County School District,3320,20%,32%,26%-39%,25%,22%-28%,1%,0%-2%,29%,21%-37%,6%,4%-9%,0%,0%-1%
00870,Alabama,Conecuh County School District,1936,38%,51%,40%-62%,29%,23%-35%,1%,0%-2%,37%,26%-49%,6%,2%-11%,0%,0%-2%
00900,Alabama,Coosa County School District,1508,30%,43%,37%-49%,25%,19%-30%,1%,0%-2%,30%,19%-40%,10%,0%-20%,0%,0%-3%
00930,Alabama,Covington County School District,3524,26%,26%,20%-32%,23%,20%-26%,2%,1%-3%,15%,11%-19%,10%,6%-13%,0%,0%-1%
00960,Alabama,Crenshaw County School District,2329,29%,37%,30%-45%,23%,20%-26%,1%,0%-2%,23%,17%-29%,6%,3%-8%,0%,0%-2%
00990,Alabama,Cullman City School District,2415,21%,28%,18%-39%,32%,27%-38%,2%,0%-4%,16%,7%-25%,8%,4%-12%,0%,0%-2%
01020,Alabama,Cullman County School District,"11,151",19%,28%,23%-33%,28%,25%-30%,2%,1%-2%,16%,13%-19%,4%,3%-5%,1%,0%-3%
01050,Alabama,Dale County School District,2604,24%,35%,29%-41%,33%,29%-36%,1%,0%-2%,19%,14%-23%,10%,7%-14%,0%,0%-2%
01080,Alabama,Daleville City School District,1839,24%,39%,25%-53%,33%,27%-39%,4%,1%-6%,17%,9%-24%,11%,5%-17%,6%,1%-11%
01110,Alabama,Dallas County School District,3825,37%,61%,53%-68%,20%,17%-24%,3%,1%-4%,20%,14%-26%,5%,2%-7%,0%,0%-1%
01140,Alabama,DeKalb County School District,"10,627",28%,33%,28%-38%,25%,23%-27%,2%,1%-3%,24%,19%-29%,4%,2%-5%,5%,2%-8%
01170,Alabama,Decatur City School District,9126,23%,43%,38%-49%,27%,25%-29%,3%,2%-4%,27%,22%-32%,8%,6%-9%,7%,4%-10%
01200,Alabama,Demopolis City School District,1201,33%,66%,45%-87%,29%,20%-38%,1%,0%-3%,29%,14%-44%,0%,0%-2%,0%,0%-3%
01230,Alabama,Dothan City School District,"11,517",23%,46%,44%-49%,34%,33%-36%,1%,1%-1%,19%,17%-21%,5%,4%-6%,0%,0%-1%
01260,Alabama,Elba City School District,665,24%,47%,29%-64%,30%,23%-37%,2%,0%-5%,22%,7%-36%,18%,9%-28%,5%,0%-12%
01290,Alabama,Elmore County School District,"11,991",15%,32%,26%-37%,27%,25%-30%,1%,1%-2%,7%,5%-9%,5%,4%-7%,1%,0%-1%
01320,Alabama,Enterprise City School District,5100,19%,45%,35%-55%,26%,23%-30%,1%,0%-2%,13%,8%-17%,7%,4%-10%,1%,0%-3%
01350,Alabama,Escambia County School District,5400,30%,39%,30%-47%,27%,24%-30%,2%,1%-3%,34%,26%-42%,5%,2%-7%,0%,0%-1%
01380,Alabama,Etowah County School District,9994,18%,27%,21%-32%,29%,26%-31%,1%,0%-1%,14%,10%-18%,5%,4%-7%,0%,0%-1%
01410,Alabama,Eufaula City School District,2348,35%,66%,55%-76%,26%,22%-30%,1%,0%-2%,16%,10%-22%,9%,6%-12%,1%,0%-2%
01440,Alabama,Fairfield City School District,1489,29%,81%,65%-97%,30%,25%-36%,4%,1%-6%,21%,9%-33%,8%,2%-14%,0%,0%-3%
01470,Alabama,Fayette County School District,2425,38%,32%,24%-40%,24%,21%-28%,1%,0%-2%,14%,9%-19%,10%,6%-14%,0%,0%-2%
01530,Alabama,Florence City School District,5312,21%,47%,39%-55%,38%,35%-42%,1%,1%-2%,23%,18%-29%,6%,3%-8%,3%,1%-5%
01560,Alabama,Fort Payne City School District,2597,32%,38%,29%-47%,26%,21%-31%,5%,3%-8%,20%,9%-31%,7%,3%-11%,0%,0%-1%
01590,Alabama,Franklin County School District,3637,26%,27%,19%-35%,25%,21%-29%,1%,1%-2%,23%,16%-30%,5%,3%-7%,1%,0%-2%
01620,Alabama,Gadsden City School District,5142,35%,52%,46%-57%,31%,27%-35%,1%,1%-2%,23%,18%-28%,9%,7%-12%,3%,0%-6%
01640,Alabama,Geneva City School District,1167,32%,69%,55%-84%,22%,16%-29%,1%,0%-2%,20%,7%-34%,20%,10%-29%,2%,0%-5%
01660,Alabama,Geneva County School District,3244,25%,38%,30%-46%,27%,24%-31%,2%,1%-3%,21%,16%-26%,5%,3%-7%,0%,0%-1%
01680,Alabama,Greene County School District,1372,42%,79%,70%-88%,15%,10%-20%,3%,1%-5%,34%,19%-49%,5%,2%-9%,0%,0%-2%
01690,Alabama,Guntersville City School District,1247,23%,41%,33%-50%,25%,22%-28%,1%,0%-2%,9%,5%-13%,2%,1%-4%,6%,1%-11%
01710,Alabama,Hale County School District,2510,34%,63%,52%-74%,25%,21%-30%,3%,2%-5%,33%,23%-43%,6%,3%-9%,0%,0%-2%
01720,Alabama,Haleyville City School District,1451,28%,33%,18%-47%,29%,23%-34%,1%,0%-2%,21%,10%-31%,13%,7%-19%,8%,3%-14%
01730,Alabama,Hartselle City School District,2346,12%,24%,17%-31%,29%,24%-34%,0%,0%-1%,8%,2%-13%,6%,3%-9%,4%,0%-7%
01740,Alabama,Henry County School District,2639,24%,25%,18%-32%,31%,27%-35%,1%,0%-1%,15%,8%-22%,4%,2%-7%,0%,0%-2%
01760,Alabama,Homewood City School District,4298,8%,22%,16%-28%,26%,23%-29%,1%,0%-2%,4%,2%-6%,4%,2%-5%,6%,2%-10%
01770,Alabama,Houston County School District,6581,19%,35%,31%-39%,32%,29%-34%,2%,1%-2%,27%,24%-31%,5%,4%-6%,1%,0%-2%
01800,Alabama,Huntsville City School District,"28,450",20%,40%,37%-43%,27%,25%-28%,1%,1%-2%,13%,11%-15%,6%,5%-7%,3%,2%-4%
01830,Alabama,Jackson County School District,6153,23%,36%,30%-42%,23%,20%-26%,2%,1%-3%,20%,14%-25%,4%,2%-6%,0%,0%-1%
01860,Alabama,Jacksonville City School District,1379,23%,55%,50%-60%,39%,33%-44%,0%,0%-1%,6%,2%-9%,10%,4%-16%,0%,0%-3%
01890,Alabama,Jasper City School District,2317,24%,37%,27%-47%,31%,26%-36%,2%,0%-3%,20%,11%-29%,10%,5%-16%,4%,1%-7%
01920,Alabama,Jefferson County School District,"39,115",17%,40%,38%-43%,28%,27%-29%,1%,1%-2%,16%,14%-18%,7%,6%-8%,1%,1%-2%
01950,Alabama,Lamar County School District,2366,23%,26%,18%-33%,21%,17%-24%,2%,0%-3%,22%,13%-32%,13%,7%-19%,0%,0%-2%
01980,Alabama,Lanett City School District,829,43%,60%,41%-79%,25%,19%-31%,6%,2%-10%,7%,1%-12%,1%,0%-4%,0%,0%-4%
02010,Alabama,Lauderdale County School District,8444,13%,28%,23%-33%,27%,25%-30%,1%,1%-2%,21%,17%-26%,5%,4%-7%,0%,0%-1%
02040,Alabama,Lawrence County School District,5377,33%,31%,25%-38%,22%,20%-25%,2%,1%-2%,27%,21%-33%,6%,4%-9%,0%,0%-1%
02070,Alabama,Lee County School District,"10,736",21%,37%,30%-45%,26%,23%-28%,2%,1%-3%,14%,11%-17%,5%,4%-7%,0%,0%-1%
02100,Alabama,Limestone County School District,"10,372",16%,30%,24%-36%,24%,21%-26%,2%,1%-3%,17%,13%-21%,5%,4%-7%,1%,0%-1%
02130,Alabama,Linden City School District,566,47%,39%,14%-63%,22%,15%-29%,1%,0%-2%,42%,15%-68%,38%,16%-60%,0%,0%-4%
02160,Alabama,Lowndes County School District,1696,40%,73%,63%-83%,27%,22%-31%,2%,0%-3%,30%,22%-39%,10%,6%-15%,0%,0%-2%
02190,Alabama,Macon County School District,2448,38%,63%,55%-72%,27%,24%-30%,1%,1%-2%,41%,31%-50%,4%,2%-5%,1%,0%-3%
02220,Alabama,Madison County School District,"22,296",11%,20%,17%-23%,23%,22%-25%,1%,1%-1%,8%,6%-10%,7%,5%-8%,1%,0%-2%
02250,Alabama,Marengo County School District,1732,26%,37%,24%-50%,24%,17%-31%,0%,0%-2%,25%,16%-34%,9%,3%-14%,0%,0%-2%
02310,Alabama,Marion County School District,3731,26%,22%,16%-28%,22%,19%-25%,2%,1%-3%,20%,15%-25%,10%,5%-14%,0%,0%-1%
02350,Alabama,Midfield City School District,894,29%,59%,41%-77%,26%,20%-32%,3%,0%-7%,18%,8%-27%,6%,0%-12%,0%,0%-4%
02370,Alabama,Mobile County School District,"66,267",30%,45%,43%-48%,30%,29%-31%,2%,2%-2%,21%,19%-23%,5%,4%-6%,1%,1%-2%
02400,Alabama,Monroe County School District,3654,30%,52%,38%-65%,26%,22%-30%,1%,0%-1%,53%,42%-64%,6%,3%-9%,0%,0%-1%
02430,Alabama,Montgomery County School District,"36,037",32%,54%,51%-58%,30%,29%-31%,2%,2%-2%,17%,15%-19%,8%,7%-9%,3%,2%-4%
02480,Alabama,Morgan County School District,8814,15%,25%,20%-31%,29%,26%-32%,2%,1%-3%,14%,10%-18%,7%,5%-9%,1%,0%-3%
02490,Alabama,Mountain Brook City School District,4384,6%,10%,6%-15%,18%,15%-21%,1%,0%-2%,2%,0%-5%,2%,0%-3%,0%,0%-1%
02520,Alabama,Muscle Shoals City School District,2153,13%,24%,13%-34%,29%,24%-33%,0%,0%-1%,6%,2%-10%,6%,2%-10%,0%,0%-2%
02550,Alabama,Oneonta City School District,1086,16%,26%,13%-39%,22%,15%-30%,2%,0%-5%,22%,12%-32%,4%,0%-8%,0%,0%-3%
02580,Alabama,Opelika City School District,4712,27%,48%,40%-56%,29%,26%-33%,5%,3%-7%,17%,11%-23%,3%,1%-4%,2%,0%-4%
02610,Alabama,Opp City School District,1099,39%,54%,41%-67%,26%,21%-32%,2%,0%-4%,24%,13%-34%,11%,5%-17%,0%,0%-3%
02635,Alabama,Oxford City School District,4513,20%,32%,25%-39%,31%,27%-35%,2%,1%-3%,10%,5%-14%,9%,5%-13%,2%,0%-3%
02640,Alabama,Ozark City School District,2648,28%,45%,37%-54%,35%,31%-40%,1%,0%-2%,26%,18%-34%,10%,5%-15%,0%,0%-1%
02650,Alabama,Pell City City School District,4402,16%,33%,23%-42%,28%,24%-32%,1%,0%-1%,14%,8%-19%,7%,4%-10%,0%,0%-1%
02670,Alabama,Perry County School District,1555,49%,76%,62%-90%,21%,13%-29%,3%,0%-5%,43%,25%-61%,5%,1%-10%,0%,0%-2%
02700,Alabama,Phenix City City School District,6831,32%,52%,45%-60%,27%,23%-30%,4%,2%-5%,20%,14%-26%,6%,4%-8%,5%,2%-8%
02730,Alabama,Pickens County School District,2968,29%,43%,36%-51%,26%,22%-29%,1%,0%-2%,20%,15%-26%,10%,7%-14%,1%,0%-3%
02760,Alabama,Piedmont City School District,1007,28%,43%,28%-57%,28%,21%-35%,2%,0%-4%,15%,6%-25%,5%,1%-9%,0%,0%-3%
02790,Alabama,Pike County School District,2211,27%,42%,35%-48%,27%,23%-31%,2%,1%-3%,32%,24%-40%,6%,4%-8%,1%,0%-3%
02820,Alabama,Randolph County School District,2746,27%,31%,23%-39%,18%,15%-21%,2%,1%-4%,20%,13%-28%,5%,3%-8%,1%,0%-4%
02850,Alabama,Roanoke City School District,878,32%,50%,34%-66%,25%,18%-32%,4%,1%-8%,3%,0%-6%,2%,0%-4%,0%,0%-4%
02880,Alabama,Russell County School District,4300,27%,35%,26%-44%,28%,23%-32%,2%,1%-4%,18%,13%-24%,7%,3%-10%,0%,0%-1%
02910,Alabama,Russellville City School District,2004,33%,49%,32%-66%,13%,10%-17%,8%,4%-12%,37%,21%-53%,1%,0%-3%,24%,13%-34%
02940,Alabama,Scottsboro City School District,2186,22%,19%,10%-27%,28%,23%-33%,2%,1%-4%,6%,2%-10%,7%,3%-11%,0%,0%-2%
02970,Alabama,Selma City School District,3430,52%,76%,69%-83%,28%,24%-32%,4%,2%-5%,23%,16%-30%,6%,3%-9%,0%,0%-1%
03000,Alabama,Sheffield City School District,1321,28%,59%,46%-71%,31%,26%-37%,0%,0%-1%,28%,15%-40%,10%,4%-15%,0%,0%-3%
03030,Alabama,Shelby County School District,"23,163",8%,21%,19%-24%,29%,28%-31%,1%,1%-1%,10%,8%-12%,5%,4%-6%,1%,0%-1%
03062,Alabama,St. Clair County School District,9781,13%,26%,22%-31%,31%,28%-34%,1%,0%-1%,13%,9%-17%,5%,3%-7%,0%,0%-1%
03090,Alabama,Sumter County School District,1820,53%,56%,45%-67%,26%,20%-32%,1%,0%-2%,21%,13%-30%,5%,2%-9%,5%,0%-13%
03120,Alabama,Sylacauga City School District,2303,21%,50%,41%-58%,26%,21%-31%,1%,0%-2%,15%,8%-22%,4%,1%-6%,1%,0%-3%
03150,Alabama,Talladega City School District,1857,31%,74%,65%-83%,21%,16%-25%,1%,0%-2%,17%,9%-26%,14%,6%-22%,0%,0%-2%
03180,Alabama,Talladega County School District,7836,22%,38%,32%-44%,27%,24%-29%,2%,1%-2%,21%,16%-26%,6%,4%-7%,1%,0%-2%
03210,Alabama,Tallapoosa County School District,2942,29%,38%,30%-46%,21%,18%-23%,2%,1%-3%,23%,15%-32%,3%,0%-5%,0%,0%-1%
03240,Alabama,Tallassee City School District,1851,20%,36%,22%-50%,20%,14%-27%,4%,1%-7%,20%,9%-31%,5%,0%-10%,0%,0%-2%
03270,Alabama,Tarrant City School District,1057,35%,63%,43%-82%,37%,29%-44%,4%,0%-7%,42%,25%-60%,20%,9%-32%,14%,0%-28%
03300,Alabama,Thomasville City School District,851,26%,29%,11%-47%,38%,29%-48%,0%,0%-2%,11%,0%-24%,9%,0%-18%,0%,0%-4%
03330,Alabama,Troy City School District,2462,31%,50%,37%-63%,35%,29%-42%,2%,0%-3%,26%,17%-35%,11%,5%-16%,7%,1%-12%
03360,Alabama,Tuscaloosa City School District,"12,483",25%,46%,42%-50%,30%,28%-32%,1%,1%-2%,17%,13%-20%,4%,3%-5%,3%,2%-5%
03390,Alabama,Tuscaloosa County School District,"18,296",16%,29%,25%-33%,25%,23%-26%,2%,1%-2%,15%,11%-18%,5%,4%-6%,0%,0%-1%
03420,Alabama,Tuscumbia City School District,1711,19%,55%,42%-67%,32%,26%-39%,0%,0%-1%,13%,5%-20%,1%,0%-3%,0%,0%-2%
03430,Alabama,Vestavia Hills City School District,6989,3%,16%,13%-20%,24%,21%-27%,0%,0%-1%,2%,1%-4%,5%,2%-8%,2%,1%-3%
03450,Alabama,Walker County School District,8034,23%,32%,28%-36%,31%,29%-34%,2%,1%-3%,20%,17%-24%,12%,9%-14%,1%,0%-2%
03480,Alabama,Washington County School District,3087,24%,47%,35%-59%,23%,19%-28%,3%,2%-5%,33%,25%-42%,10%,7%-14%,0%,0%-1%
03510,Alabama,Wilcox County School District,1976,50%,54%,43%-64%,21%,16%-26%,1%,0%-2%,33%,23%-44%,8%,3%-12%,7%,0%-16%
03540,Alabama,Winfield City School District,1258,26%,26%,12%-39%,29%,21%-36%,1%,0%-3%,6%,0%-12%,5%,0%-9%,2%,0%-5%
03580,Alabama,Winston County School District,2295,24%,29%,20%-38%,25%,22%-29%,1%,0%-2%,22%,14%-30%,10%,5%-14%,1%,0%-3%
00001,Alaska,Lower Kuskokwim School District,3844,38%,35%,32%-39%,20%,17%-22%,34%,31%-37%,17%,15%-19%,1%,1%-2%,4%,3%-5%
00003,Alaska,Lower Yukon School District,1779,45%,51%,48%-54%,16%,15%-18%,51%,48%-55%,34%,30%-37%,3%,2%-4%,1%,0%-2%
00004,Alaska,Yupiit School District,385,46%,45%,39%-52%,20%,12%-29%,56%,50%-62%,46%,40%-53%,5%,3%-8%,0%,0%-5%
00005,Alaska,Kashunamiut School District,287,45%,65%,55%-75%,13%,8%-17%,48%,39%-57%,24%,14%-34%,3%,1%-6%,0%,0%-6%
00007,Alaska,Aleutians East Borough School District,380,12%,49%,41%-58%,9%,7%-10%,3%,0%-5%,18%,13%-24%,4%,0%-8%,2%,0%-7%
00010,Alaska,Aleutian Region School District,64,23%,75%,48%-100%,12%,3%-21%,8%,0%-36%,70%,39%-100%,0%,0%-20%,0%,0%-28%
00020,Alaska,Bering Strait School District,1661,30%,54%,52%-57%,16%,11%-22%,40%,37%-42%,26%,23%-28%,3%,2%-4%,1%,0%-2%
00030,Alaska,Bristol Bay Borough School District,142,16%,30%,20%-40%,17%,13%-21%,5%,0%-11%,19%,12%-26%,3%,0%-6%,0%,0%-13%
00050,Alaska,Alaska Gateway School District,450,23%,40%,31%-49%,23%,17%-30%,11%,6%-15%,25%,14%-36%,20%,13%-27%,2%,0%-6%
00060,Alaska,Cordova City School District,448,5%,0%,0%-2%,29%,20%-37%,3%,0%-6%,3%,0%-7%,5%,0%-13%,0%,0%-4%
00070,Alaska,Copper River School District,418,12%,10%,3%-17%,24%,17%-31%,5%,0%-10%,8%,3%-14%,5%,0%-10%,0%,0%-4%
00090,Alaska,Craig City School District,224,21%,46%,36%-56%,25%,21%-28%,6%,3%-9%,24%,18%-31%,5%,1%-8%,0%,0%-8%
00100,Alaska,Delta/Greely School District,942,14%,7%,3%-12%,14%,9%-20%,8%,4%-12%,20%,12%-27%,1%,0%-3%,3%,0%-6%
00120,Alaska,Dillingham City School District,434,23%,46%,35%-58%,20%,16%-25%,14%,10%-18%,6%,1%-10%,6%,3%-8%,0%,0%-4%
00130,Alaska,Galena City School District,119,17%,38%,26%-50%,13%,6%-20%,13%,5%-22%,16%,6%-26%,0%,0%-11%,0%,0%-15%
00150,Alaska,Ketchikan Gateway Borough School District,2230,11%,37%,32%-42%,29%,27%-31%,4%,3%-5%,8%,5%-10%,5%,3%-7%,1%,0%-2%
00180,Alaska,Anchorage School District,"51,254",11%,32%,30%-34%,29%,28%-30%,5%,4%-5%,7%,6%-8%,5%,4%-6%,2%,1%-3%
00210,Alaska,Juneau Borough School District,5044,7%,28%,23%-34%,21%,19%-22%,4%,3%-6%,5%,3%-7%,6%,4%-8%,1%,0%-1%
00240,Alaska,Sitka School District,1501,7%,40%,31%-49%,24%,20%-27%,3%,2%-4%,10%,7%-13%,6%,3%-9%,1%,0%-2%
00270,Alaska,Haines Borough School District,399,14%,30%,1%-59%,32%,22%-42%,8%,2%-14%,5%,1%-9%,6%,0%-14%,0%,0%-5%
00300,Alaska,Hoonah City School District,97,32%,61%,47%-76%,28%,21%-35%,3%,0%-9%,25%,14%-35%,8%,2%-15%,0%,0%-19%
00330,Alaska,Hydaburg City School District,74,43%,64%,53%-74%,15%,0%-34%,6%,0%-21%,38%,19%-57%,8%,0%-23%,0%,0%-24%
00360,Alaska,Kake City School District,94,16%,22%,9%-35%,13%,5%-21%,12%,2%-23%,10%,0%-23%,6%,1%-11%,0%,0%-19%
00390,Alaska,Kenai Peninsula Borough School District,9601,13%,27%,24%-31%,28%,26%-30%,4%,4%-5%,13%,11%-16%,5%,4%-6%,1%,0%-1%
00450,Alaska,Klawock City School District,133,24%,41%,30%-52%,30%,26%-35%,8%,3%-12%,41%,28%-54%,8%,4%-12%,0%,0%-14%
00480,Alaska,Kodiak Island Borough School District,2493,9%,25%,18%-31%,22%,19%-25%,9%,6%-12%,7%,3%-10%,6%,3%-9%,5%,1%-9%
00485,Alaska,Lake and Peninsula Borough School District,276,25%,46%,42%-49%,14%,10%-18%,8%,4%-12%,20%,14%-25%,2%,1%-4%,0%,0%-6%
00510,Alaska,Matanuska-Susitna Borough School District,"20,534",10%,22%,20%-24%,28%,27%-29%,5%,5%-6%,7%,6%-8%,5%,4%-6%,1%,0%-1%
00520,Alaska,Iditarod Area School District,182,28%,66%,56%-76%,16%,11%-22%,14%,10%-18%,23%,15%-32%,7%,4%-10%,0%,0%-10%
00525,Alaska,Annette Island School District,377,23%,39%,26%-52%,17%,11%-23%,5%,0%-10%,16%,8%-24%,7%,3%-11%,0%,0%-5%
00540,Alaska,Nenana City School District,83,21%,66%,46%-87%,25%,14%-36%,6%,0%-16%,27%,9%-44%,5%,0%-10%,0%,0%-22%
00570,Alaska,Nome School District,773,15%,43%,34%-51%,21%,17%-24%,19%,15%-22%,16%,10%-23%,1%,0%-3%,0%,0%-2%
00600,Alaska,Fairbanks North Star Borough School District,"16,197",8%,30%,25%-35%,26%,24%-28%,6%,5%-7%,9%,7%-11%,5%,3%-6%,0%,0%-0%
00610,Alaska,North Slope Borough School District,1722,14%,46%,39%-54%,9%,7%-11%,32%,28%-36%,14%,10%-18%,3%,1%-4%,1%,0%-2%
00625,Alaska,Northwest Arctic Borough School District,1907,25%,53%,50%-57%,17%,14%-19%,36%,33%-39%,22%,19%-26%,2%,1%-3%,0%,0%-2%
00630,Alaska,Pelican City School District,3,18%,100%,100%-100%,34%,0%-76%,9%,0%-54%,0%,0%-100%,0%,0%-100%,0%,0%-100%
00660,Alaska,Petersburg Borough School District,528,9%,30%,23%-37%,25%,21%-28%,3%,1%-4%,7%,3%-11%,2%,1%-4%,2%,0%-6%
00670,Alaska,Pribilof School District,65,11%,52%,38%-65%,16%,9%-23%,5%,0%-17%,17%,4%-30%,2%,0%-16%,0%,0%-28%
00680,Alaska,St. Marys City School District,168,42%,53%,43%-64%,24%,11%-36%,35%,27%-44%,5%,0%-10%,4%,0%-10%,0%,0%-11%
00690,Alaska,Skagway School District,119,9%,23%,15%-30%,40%,28%-53%,4%,0%-7%,6%,0%-15%,0%,0%-11%,0%,0%-15%
