School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
10620,Texas,Bluff Dale Independent School District,184,10%,40%,23%-58%,30%,18%-42%,1%,0%-8%,10%,0%-25%,3%,0%-11%,0%,0%-14%
10650,Texas,Blum Independent School District,281,11%,9%,1%-18%,26%,18%-34%,1%,0%-6%,9%,0%-19%,9%,2%-16%,0%,0%-9%
10710,Texas,Boerne Independent School District,8707,7%,18%,13%-22%,31%,28%-34%,1%,1%-2%,7%,3%-10%,3%,2%-4%,1%,0%-2%
10740,Texas,Boles Independent School District,149,20%,44%,21%-67%,34%,16%-52%,0%,0%-17%,38%,12%-64%,11%,1%-21%,0%,0%-17%
10780,Texas,Boling Independent School District,637,16%,10%,0%-20%,19%,12%-25%,0%,0%-2%,13%,4%-22%,12%,3%-21%,0%,0%-4%
10800,Texas,Bonham Independent School District,2234,18%,26%,17%-35%,22%,19%-26%,2%,1%-3%,13%,8%-18%,1%,0%-2%,2%,0%-4%
10830,Texas,Booker Independent School District,195,12%,22%,12%-33%,22%,16%-29%,3%,0%-7%,6%,0%-14%,9%,0%-21%,18%,2%-34%
10860,Texas,Borden County Independent School District,82,15%,24%,3%-45%,13%,2%-23%,0%,0%-12%,12%,0%-26%,29%,14%-44%,0%,0%-32%
10890,Texas,Borger Independent School District,2733,18%,36%,28%-44%,27%,23%-31%,3%,1%-5%,15%,9%-20%,4%,1%-7%,2%,0%-3%
10910,Texas,Bosqueville Independent School District,637,14%,18%,6%-30%,19%,13%-24%,5%,0%-9%,4%,0%-10%,2%,0%-6%,0%,0%-4%
10950,Texas,Bovina Independent School District,319,17%,32%,20%-43%,17%,10%-23%,9%,3%-16%,48%,30%-66%,1%,0%-6%,7%,0%-16%
10990,Texas,Bowie Independent School District,1962,20%,31%,22%-40%,32%,26%-38%,4%,1%-7%,24%,16%-32%,3%,0%-6%,7%,0%-15%
11010,Texas,Boyd Independent School District,1053,11%,15%,5%-25%,26%,20%-31%,2%,0%-3%,19%,4%-33%,5%,0%-11%,0%,0%-4%
11040,Texas,Boys Ranch Independent School District,9,9%,0%,0%-100%,0%,0%-61%,0%,0%-86%,37%,0%-100%,0%,0%-100%,0%,0%-100%
11070,Texas,Brackett Independent School District,568,23%,22%,12%-33%,19%,10%-28%,1%,0%-3%,30%,14%-46%,3%,0%-8%,0%,0%-5%
11110,Texas,Brady Independent School District,1152,26%,43%,27%-59%,33%,26%-40%,2%,0%-4%,26%,13%-38%,15%,7%-23%,9%,0%-19%
11190,Texas,Brazosport Independent School District,"13,092",17%,33%,28%-38%,23%,21%-25%,4%,3%-5%,12%,9%-15%,3%,2%-5%,5%,3%-7%
11220,Texas,Breckenridge Independent School District,1630,30%,31%,23%-40%,25%,19%-30%,2%,0%-3%,17%,8%-25%,3%,1%-5%,0%,0%-2%
11250,Texas,Bremond Independent School District,204,21%,34%,15%-53%,24%,16%-33%,2%,0%-5%,14%,2%-26%,4%,0%-10%,4%,0%-18%
11280,Texas,Brenham Independent School District,5313,18%,31%,26%-36%,29%,25%-32%,3%,2%-4%,22%,16%-29%,8%,4%-13%,5%,1%-9%
11310,Texas,Bridge City Independent School District,2674,12%,32%,18%-45%,28%,23%-33%,1%,0%-3%,7%,0%-14%,7%,3%-10%,1%,0%-4%
11340,Texas,Bridgeport Independent School District,2174,16%,35%,22%-47%,27%,22%-32%,5%,3%-7%,21%,11%-30%,5%,1%-9%,8%,2%-14%
11400,Texas,Fort Elliott Consolidated Independent School District,150,8%,25%,2%-48%,19%,12%-27%,2%,0%-12%,3%,0%-12%,10%,0%-20%,0%,0%-17%
11430,Texas,Broaddus Independent School District,426,36%,29%,0%-61%,31%,21%-41%,5%,0%-9%,6%,0%-13%,13%,1%-24%,0%,0%-6%
